腱	gin3
墝	haau1
竑	wang4
槨	gwok3
馡	fei1
豉	si6
篷	pung4
霏	fei1
绽	jaan6
弔	diu3
巇	hei1
姞	gat1
猩	sing1
妲	daat3
僻	pik1
廱	yung1
邪	che4
買	maai5
槎	cha4
鬢	ban3
葺	chap1
酊	ding1/ding2
掷	jaak6
废	fai3
鉋	paau4
咱	ja1
禨	gei1
黼	fu2
矣	yi5
虧	kwai1
鬯	cheung3
邸	dai2
锤	cheui4
洵	seun1
勇	yung6
寠	leui6
逅	hau6
襁	keung5
疠	lai6
矰	jang1
鐫	jyun1
喧	hyun1/hyun1
瀕	pan4/ban1
柙	haap6
龃	zeoi2
雪	syut3
痈	yung1
奚	hai4
限	haan6
浔	cham4
踘	guk6
靖	jing6
莪	ngo4
末	mut6
罝	je1/zeoi1
瓀	yun5
焠	cheui3/seui6
丼	jeng2/jing2
汙	wu1
格	gaak3
坨	to4
绵	min4
每	mui5
諟	si6
帷	wai4
邻	leun4
护	wu6
铆	maau5
橧	jang1
觉	gaau3/gok3
颖	wing6
玀	lo4
姁	heui1
憔	chiu4
邯	hon4
賝	sam1
菾	tim4
话	wa6/wa2
稜	ling4
蝈	gwok3
黟	yi1
鈔	chaau1
陕	sim2
屪	liu4
治	ji6
惰	do6
趾	ji2
瑱	jan3/tin3
葒	hung4
锛	ban1
访	fong2
褧	gwing2
唚	cham3
胪	lou4
嘔	au2
锐	yeui6
獫	him2
雞	gai1
抒	syu1
煮	jyu2
鹆	yuk6
馂	jeun3
督	duk1
嗖	sau1
皙	sik1
坝	ba3
毋	mou4
失	sat1
缶	fau2
瘠	jik3
崎	kei1
伊	yi1
诎	wat1
臀	tyun4
鮦	tung3
睖	ling6
画	waak6/wa2
幃	wai4
迮	jaak3
肿	jung2
栖	chai1/chai1
苦	fu2
怹	ta1
淩	ling4
嚐	seung4
罘	fau4
汛	seun3
栔	kai3
誌	ji3
秸	gaai1
孟	maang6
次	chi3
迻	yi4
洩	sit3
唑	jo6
堇	gan2
騰	tang4
毧	yung4
臢	jim1
蘞	lim4
迴	wui4
寇	kau3
旨	ji2
崆	hung1
鯖	ching1
栽	joi1
级	kap1
禧	hei1/hei2
悌	dai6
暠	gou2
吐	tou3
雏	cho1/cho4
胆	daam2
揖	yap1
槿	gan2
鞗	tiu4
憨	ham1
只	ji2/kei4/ji2/jek3/jek3
證	jing3
茅	maau4
罍	leui4
舵	to4/to5
坟	fan4
襶	de2
炁	hei3
餃	gaau2
讥	gei1
疾	jat6
培	pui4
圈	hyun1/gyun6
懵	mung2/mung5
鶚	ngok6
雯	man4
沁	sam3
圮	pei2
諼	hyun1
泳	wing6
疤	ba1
黕	daam2
改	goi2
韁	geung1
唱	cheung3
駽	gyun1
刧	gip3
篑	gwai6
鄭	jeng6/jing6
甏	paang6/paang1
鯆	bou1
要	yiu3/yiu1
擢	jaak6/jok6
類	leui6
橙	chaang2
翔	cheung4
椰	ye4
掫	jau1
釔	yut6
芋	wu6
竺	juk1
驕	giu1
漬	ji3
鯁	kang2/gang2
陟	jik1
茼	tung4
桃	tou4
瞰	ham3
饕	tou1
赤	chek3
坵	yau1
榔	long4
颉	git3/kit3
羔	gou1
哗	wa1/wa4
妺	mut6
窌	gaau3
綻	jaan6
洞	dung6
闫	yim4
鬚	sou1
荟	kui2/wai3/wui3
噏	ap1/ngap1
桲	but6
M3	em1/co3me3
覂	faan3
橡	jeung6
镶	seung1
妃	fei1
寀	choi2
筐	kwaang2
噭	giu3
锼	sau1
队	deui6
叫	giu3
綫	sin3
锹	chiu4/chiu1
熏	fan1/fan1
烔	tung4
蚋	yeui6
谚	yin6
掎	gei2
筑	juk1/juk1
麰	mau4
冢	chung2/chung2
咚	dung1
瑪	ma5
瓻	chi1
剎	saat3/chaat3
鱄	jyun1
儸	lo4
決	kyut3
悾	hung1
爿	baan2/cheung4
螉	yung1
觿	kwai5
郝	kok3
嬭	naai5
荍	kiu4
桷	gok3
杷	pa4
呆	ngoi4/daai1
穇	saam1
拖	to1
氓	man4/mong4
吩	fan1
泚	chi2
綺	yi2
介	gaai3
矬	cho4
蘿	lo4
陵	ling4
配	pui3
作	jok3
札	jaap3/jaat3
鶻	gwat1/wat6
癭	ying2
圩	heui1/wai4/yu4
镛	yung4
趫	kiu4
醡	ja3
釙	pok3
葍	fuk1
栒	seun1
曩	nong5
礜	yu5
微	mei4
櫬	chan3
湣	man5
軿	ping4
繽	ban1
廑	gan2
椓	deuk3
愠	wan3
鑵	gun3
埂	gang2
笫	dai6
店	dim3
煤	mui4
韜	tou1
楅	fuk1
博	bok3
甬	yung2
謖	suk1
鍚	yeung4
勰	hip6
浪	long6
磐	pun4
应	ying1/ying3
郲	loi4
金	gam1
喳	ja1/cha1/cha4
還	waan4
芧	zeoi6
黌	hung4
喈	gaai1
羧	so1
竣	jeun3
奕	yik6
祭	jai3
随	cheui4
铈	si5
域	wik6
套	tou3
羯	kit3
鄗	hou6
望	mong6
璣	gei1
煩	faan4
俶	chuk1/suk6
痞	pei2
匯	wui6
颗	fo2
黙	mak6
骠	piu3
虐	yeuk6
戰	jin3
亍	chuk1
攽	ban1
鵝	ngo4
癘	lai6
僵	geung1/geung1
秈	sin1
蛻	teui3/seui3
铋	bit1
蜡	laap6
树	syu6
癣	sin2
踣	baak6
臏	ban3
喟	wai2
直	jik6
伉	kong3
鵪	am1
皻	ja1
熾	chi3
廢	fai3
戟	gik1
軫	jan2
妩	mou5
厢	seung1
孕	yan6
裙	kwan4
漼	cheui2/cheui4
既	gei3
芭	ba1
工	gung1
半	bun3
粼	leun4
遒	chau4
草	chou2
絃	yin4
峙	si6
莆	pou4
社	se5
轖	sik1
蠮	yit6
睠	gyun3
躇	chyu4
煒	wai5
匡	hong1
铵	on1
鑭	laan4
佥	chim1
坂	baan2
澼	pik1
蠻	maan4
敦	deun1/deun1/deui6
痢	lei6
霙	ying1
拐	gwaai2
韃	taat3
為	wai6/wai4
牺	hei1
屌	diu2
货	fo3
硅	gwai1
鬐	kei4
滢	ying4
傚	haau6
帧	jing3
淶	loi4
擘	maak3
冕	min5
虀	jai1
曼	maan6
尃	fu1
賒	se1
顱	lou4
瞫	sam2
液	yik6
噤	gam3
唬	fu2
醢	hoi2
廒	ngou4
鍩	jok6
煖	hyun1/nyun5
俐	lei6
詭	gwai2
爻	ngaau4
骄	giu1
婭	a3
秋	chau1/chau1
档	dong2/dong3
诧	cha3
撙	jyun2
籣	laan4
儋	daam1
晚	maan5
宴	yin3
巫	mou4
鮐	toi4
贉	taam5
聳	sung2
駬	yi5
亏	kwai1
試	si3
濜	jeun6
姱	kwa1
汊	cha1/cha3
输	syu1
殁	mut6
袢	paan3
测	chak1
饅	maan4
渝	yu4
子	ji2
採	choi2
頠	ngai5
鞡	la1
豹	paau3
繩	sing4
鴰	kut3
夯	hang1
措	chou3
躏	leun6
鮒	fu6
菪	dong6
捶	cheui4
鰋	yin2
缯	jang1
晕	wan4
姿	ji1
牸	ji3
抟	tyun4
槼	kwai1
铟	yan1
鞣	yau4
餱	hau4
宥	yau6
粳	gang1
鍋	wo1
莩	fu1/piu5
兴	hing1/hing3
轵	ji2
貴	gwai3
戕	cheung4
繪	kui1
絹	gyun3
筜	dong1
燀	jin2
韭	gau2
碫	dyun3
啲	di1
悼	dou6
辋	mong5
槛	haam5/laam6
殪	yi3
渨	wui1
錁	gwo2
嗊	gung3
质	jat1/ji3
示	si6
懌	yik6
恪	kok3
評	ping4
犷	gwong2
繡	sau3
赒	jau1
貔	pei4
塡	tin4
宏	wang4
舷	yin4
粢	ji1
忙	mong4
难	naan6/naan4
梦	mung6
巘	yin5
铅	yun4
省	saang2/sing2
敧	gei1
漿	jeung1
梟	hiu1
卲	siu6
頹	teui4
鑄	jyu3
政	jing3
掺	chaam1/chaam4
綖	yin4
耕	gang1
縠	huk6
詩	si1
置	ji3
鮨	kei4
庐	lou4
諆	hei1
萸	yu4
棕	jung1
渚	jyu2
鄹	jau1
荒	fong1
碁	kei4
嗃	haau3
唉	aai1/oi1
摳	kau1
迍	jeun1
泙	ping4
黿	yun4
啱	ngaam1
业	yip6
鏌	mok6
們	mun4
牋	jin1
囪	chung1/cheung1
嬛	hyun1/king4
痊	chyun4
率	leut6/seut1
经	ging1
耗	hou3
損	syun2
誥	gou3
盯	ding1
稙	jik6
瓶	ping4
嶂	jeung3
瞿	geui3
砳	lak6
觏	gau3
荃	chyun4
髋	fun1
頄	wau4
壬	yam4
記	gei3
鉴	gaam3
巩	gung2
秧	yeung1
锷	ngok6
孢	baau1
敉	mei3
父	fu6
于	yu1/yu1
烚	saap6
力	lik6
膛	tong4
醫	yi1
蛊	gu2
榉	geui2
嶰	haai5
珣	seun1
鹏	paang4
鷲	jau6
袴	fu3
嶨	bok3
輅	lou6
妇	fu5
從	chung4
礵	seung1
修	sau1
缉	chap1
齋	jaai1/jai1
簸	bo2/bo3
傑	git6
诉	sou3
妝	jong1
蒉	gwai6
穑	sik1
剒	cok3
捐	gyun1
阑	laan4
軸	juk6
莲	lin4
乞	hat1
噀	seun3
商	seung1
吶	naap6/neut6
疒	nik6
較	gaau3
茬	chi4
董	dung2
鈧	kong3
匠	jeung6
炤	jiu3
鮆	chai5
斝	ga2
痣	ji3
鉉	yun5
塢	wu2
爓	yim6
幭	mik6
臧	jong1
唥	laang6
詡	heui2
垦	han2
衍	yin5
戏	hei3
枫	fung1
闋	kyut3
瀋	sam2
拥	yung2
蒸	jing1
肮	hong4
绨	tai4
軋	gaat3/jaat3
伾	pei1
招	jiu1
崇	sung4
鎦	lau4/lau5
處	chyu2/chyu3/syu3
臟	jong6
遠	yun5
媛	yun4/yun6
隤	teui4
旧	gau6
陛	bai6
叄	chaam1/sam1
汝	yu5
氛	fan1
骰	sik1/tau4
胄	jau6/jau6
楥	hyun3
嫩	nyun6
躞	sip3/sit3
蒋	jeung2
肼	jeng2
俅	kau4
卼	ngat6
媬	bou2
蕷	yu6
莖	hang4
罣	gwa3
辮	bin1
整	jing2
屜	tai3
茧	gaan2
彄	kau1
喑	yam1
潀	chung4
鶴	hok6
掃	sou3/sou2
擅	sin6
城	sing4
靠	kaau3
兼	gim1
潦	liu4/lou5
顥	hou6
殆	doi6/toi5
间	gaan1/gaan3
阡	chin1
猪	jyu1
挨	aai1/ngaai4
攆	lin5
涕	tai3
忌	gei6
翪	jung1
罵	ma6
鰜	gim1
诺	nok6
疝	saan3
浼	mui5
醐	wu4
泵	bam1
黍	syu2
袁	yun4
慇	yan1
竟	ging2
丛	chung4
缑	kau1
监	gaam1/gaam3
深	sam1
觡	gaak3
銚	diu6
濠	hou4
埌	long6/yeung5
絳	gong3
硼	paang4/pang4
璲	seui6
傖	chaang4/chong1
蜻	ching1
刨	paau4/paau4
蜊	lei4
嶧	yik6
鈀	ba1/pa4
糱	yit6
鈎	ngau1/gau1
糗	chau3/jau2
籩	bin1
囑	juk1
聯	lyun4
所	so2
婢	pei5
殒	wan5
嗬	ho2
箪	daan1
痭	bang1
裏	leui5
墾	han2
鄚	mok6
锌	san1
贿	kui2
鶺	jik3
瞧	chiu4
鄀	yeuk6
搒	bong1
懈	gaai3/haai5
淼	miu5
撓	naau4/naau5
匏	paau4
蒲	pou4
賓	ban1
腿	teui2
橥	jyu1
娵	jau1
遴	leun4
佺	chyun4
仇	sau4/chau4/kau4
榰	ji2
輥	gwan2
缪	miu6/mau4/mau6
棹	jaau6/jaau6
陝	sim2
痍	yi4
蜎	yun1
醾	mei4
狆	jung1
掘	gwat6
哞	mau1
匉	ping1
埤	pei4
攰	gui6
刳	fu1
牒	dip6
籀	jau6
精	jing1/jeng1
潚	siu1
旐	jiu6
把	ba2
称	ching1/ching3/chan3
茉	mut6
遗	wai4/wai6
睾	gou1
蠃	lo2
伤	seung1
黹	ji2
腯	dat1
猛	maang5
主	jyu2
惊	ging1/geng1
恒	hang4
岑	sam4
紙	ji2
桑	song1
癌	ngaam4
磊	leui5
馁	neui5/noi5
鲣	gin1
痯	gun2
恹	yim1
缄	gaam1
葱	chung1
立	laap6
处	chyu2/chyu3/syu3
剪	jin2
抗	kong3
蹿	chyun1
勿	mat6
鴞	hiu1
橘	gwat1
碼	ma5
澥	haai5
乎	fu4
驍	hiu1
院	yun2
骨	gwat1
濉	seui1
動	dung6
猾	waat6
磠	lou5
腴	yu4
縟	yuk6
觸	juk1/chuk1
斩	jaam2
阞	lak6
疇	chau4
炙	jek3/jik3
个	go3
俟	ji6/kei4
赘	zeoi3
账	jeung3
當	dong1/dong3
簾	lim4
与	yu5
船	syun4
犄	gei1
嘞	laak3/lak3
獵	lip6
桓	wun4
垢	gau3
黄	wong4/wong4
燧	seui6
蹉	cho1
偃	yin2
呎	chek3
廈	ha6
鑴	kwai4
蠁	heung2
疟	yeuk6
咸	haam4/haam4
嘩	wa1/wa4
腕	wun2
鸫	dung1
察	chaat3
闑	yip6
轩	hin1
槚	ga2
錄	luk6
簏	luk1
罚	fat6
杙	yik6
雖	seui1
誃	ji2
鍾	jung1
涣	wun6
鐵	tit3
對	deui3
夕	jik6
震	jan3
儗	hoi3/yi5
熄	sik1
柮	deut1
肈	siu6
通	tung1
嬲	nau1
綸	gwan1/leun4
估	gu2/gu3
骆	lok3
齑	jai1
箭	jin3
淞	sung1
刚	gong1
鲶	nim4
婺	mou6
阼	jou6
隸	dai6/lai6
涛	tou4
玕	gon1
橈	naau4/yiu4
剥	mok1
便	bin6/pin4
洲	jau1
孙	syun1
铣	sin2
郃	hap6
醋	chou3
萄	tou4
细	sai3
駃	kyut3
舴	jaak3
走	jau2
泛	faan3/faan6/faan3
簦	dang1
鲁	lou5
衔	haam4/haam4
曉	hiu2
景	ging2
擒	kam4
谙	am1
拘	keui1
蠋	juk1
醃	yim1
蠵	kwai4
瞓	fan33
泜	chi4
遯	deun6
櫻	ying1
珍	jan1
唢	so2
兩	leung5
泲	jai3/ji2
愕	ngok6
嘮	lou4
嗚	wu1
爭	jang1/jaang1
腻	nei6
伫	chyu5
冚	kam2/ham6
監	gaam1/gaam3
批	pai1
分	fan1/fan6
静	jing6
慫	sung2
陜	haap3/gip6/haap6
怖	bou3
稔	nam5
绀	gam3
穎	wing6
鬘	maan4
雕	diu1/diu1/diu1
摯	ji3
纨	yun4
逆	yik6
奶	naai5
芜	mou4
棒	paang5
馮	fung4/pang4
沍	wu6
葬	jong3
鑊	wok6
躒	lok3/lik1
翊	yik6
饩	hei3
择	jaak6
街	gaai1
搗	dou2
庚	gang1
鳲	si1
钊	chiu1
奁	lim4
犹	yau4
櫜	gou1
殿	din3/din6
抱	pou5/bou6
滞	jai6
墈	ham3
榈	leui4
氉	so3
淑	suk1
毷	mou6
蹩	pit3
之	ji1
羲	hei1
嚮	heung3
瞬	seun3
唠	lou4
輒	jip3
昭	chiu1
蚯	yau1
钫	fong1
像	jeung6
袽	yu4
擺	baai2
徇	seun1/seun1/seun6
余	yu4/yu4
諶	sam4
鼬	yau4
物	mat6
禿	tuk1
情	ching4
势	sai3
鞬	gin1
百	baak3
促	chuk1
玈	lou4
牏	yu4
莧	yin6
凉	leung4
殞	wan5
壌	yeung6
雩	yu4
皮	pei4
共	gung6
嗩	so2
耦	ngau5
惷	cheun2
鞅	yeung1
镆	mok6
猓	gwo2
啃	hang2
鏈	lin6
茈	chi2
糢	mou4
斕	laan4
昔	sik1
藺	leun6
毗	pei4
筧	gan2
氏	si6
兎	tou3
啽	am1/ngap1
檠	king4
虱	sat1
悟	ng6
铛	chang1/dong1
檨	se1
廉	lim4
剃	tai3/tai3
救	gau3
恌	tiu1
琖	jaan1/jaan2
黾	man5
遷	chin1
孔	hung2
婞	hang6
謆	sin3
汩	gwat1
蕡	fan5
稑	ling4
訕	saan3
攞	lo2
付	fu6
陋	lau6
进	jeun3
燙	tong3
垟	yeung4
苺	mui4
瑷	oi3
灿	chan3
劘	mo4
怪	gwaai3
葶	ting4
鶵	cho4
禋	yan1
尾	mei5
犴	hon4/ngon6
骷	fu1
誠	sing4
灑	sa2
蒻	yeuk6
莒	geui2
蛉	ling4
輦	lin5
璃	lei4
堳	mui4
胤	yan6
溟	ming4
鴦	yeung1
佉	keui1
驛	yik6
珥	nei6/yi6
隕	wan5
辣	laat6
測	chak1
笨	ban6
鱣	jin1
賁	ban1/bei3/fan5
魄	paak3/bok3/tok3
雹	bok6
鶬	chong1
晾	long3/long6
钽	daan3
瞥	pit3
预	yu6
棑	paai4
膂	leui5
倅	cheui3/jeut1
翎	ling4
況	fong3
暝	ming4/ming6
墀	chi4
玨	gok3
脂	ji1
裊	niu5
蔽	bai3
故	gu3
梵	faan6
茜	sin6
墁	maan6
宗	jung1
廁	chi3
舣	ngai5
峱	naau4
邢	ying4
唲	yi4
輤	sin3
憂	yau1
輪	leun4
貉	hok6
族	juk6
诤	jaang3/jang3
翅	chi3
捌	baat3
怩	nei4
鼹	yin2
剁	deuk3/do2
四	sei3
錦	gam2
多	do1
狺	ngan4
荞	kiu4
龊	chuk1
鍐	jung1
玺	saai2
屿	yu4/zeoi6
鄙	pei2
敷	fu1
祝	juk1
楣	mei4
踬	ji3
稻	dou6
刪	saan1
炕	kong3
用	yung6
孌	lyun5
瑚	wu4
笪	daat3
皫	piu2
榦	gon3
麛	nei4
鹵	lou5
槮	sam6
樁	jong1
歧	kei4
篰	bou6
瀍	chin4
鹁	but6
倣	fong2
搽	cha4
鼉	to4
卵	leun5
瘅	daan1/daan3/taan2
瘺	lau6
孜	ji1
聰	chung1
豐	fung1
琀	ham3
酆	fung1
媊	chin4
惓	kyun4
赢	yeng4/ying4
熊	hung4
照	jiu3
鴒	ling4
石	sek6
鳞	leun4
砮	nou5
蘤	fa1
孭	me1
噱	kek3
轲	o1
廠	chong2
憐	lin4
悬	yun4
軜	naap6
豶	fan4
懲	ching4
火	fo2
反	faan2
璇	syun4
頃	king2
訹	seut6
婼	cheuk3
邳	pei4
莰	haam2
笊	jaau3
腔	hong1
矇	mung4
逗	dau6
嫋	niu5
绫	ling4
簃	yi4
豻	hon6/ngon6
场	cheung4
滄	chong1
苫	sim1/sim3
淺	chin2
霑	jim1
翁	yung1
廩	lam5
蹟	jik1
鹩	liu4
恰	hap1
帆	faan4
珷	mou5
韺	ying1
慝	nik1/tik1
蛟	gaau1
鄴	yip6
膣	jat6
匦	gwai2
眸	mau4
快	faai3
昵	nik1
視	si6
謐	mat6
辰	san4
豁	kut3
鄞	ngan4
荁	wun4
諴	haam4
铁	tit3
布	bou3/bou3
亭	ting4
曬	saai3/saai3
隔	gaak3
焌	cheut1/jeun3
斲	deuk3
劖	chaam5
口	hau2
丞	sing4
绣	sau3
餅	beng2
註	jyu3
職	jik1
暇	ha6
潑	put3
罃	ang1
糧	leung4
存	chyun4
黪	chaam2
媲	pei3
圾	saap3
污	wu1
吠	fai6
锑	tai1
泪	leui6
鹘	gwat1/wat6
瘯	chuk1
豕	chi2
閻	yim4
蜒	yin4
門	mun4
褰	hin1
皭	jeuk3/jiu3
冶	ye5
艮	gan3
麴	guk1/kuk1
黉	hung4
庾	yu5
鄏	yuk6
葇	yau2
宝	bou2
傧	ban3
轉	jyun2/jyun3
洼	wa1/wa1
騏	kei4
鹌	am1
酩	ming5
迦	ga1
澨	sai6
涅	nip6
洺	ming4
蠕	yu4
汶	man6
譁	wa1
鵯	bei1
忮	gei6/ji3
跫	kung4
诒	yi4
蝝	yun4
桨	jeung2
炫	yun6
菩	pou4
阏	aat1/aat3/yin1
驶	sai2
疱	paau3
牯	gu2
齩	ngaau5
蒟	geui2/lau1
币	bai6
俯	fu2
財	choi4
橛	kyut3
畅	cheung3
琺	faat3
誡	gaai3
媵	ying6
得	dak1
緊	gan2
訝	nga6
玓	dik1
韞	wan3
鸨	bou2
士	si6
郫	pei4
耆	kei4
锇	ngo4
肙	yun1
贷	taai3
蠓	mung5
閟	bei3
李	lei5
氨	on1
嵬	ngai4
小	siu2
査	cha4
畲	se1/yu4
哒	daat6
鶊	gang1
豊	lai5
姑	gu1
甽	jan3
佧	ka2/ka2
憮	mou5
芒	mong4
婬	yam4
僬	jiu1
減	gaam2
蔾	lai4
傲	ngou6
漭	mong5
罭	wik6
歸	gwai1
龘	daap6
闸	jaap6
洧	fui2
潼	tung4
支	ji1
跱	ji6
荼	tou4
蜋	long4
锸	chaap3
帡	ping4
鎳	nip1
啟	kai2
络	lok3
执	jap1
駘	toi4
枉	wong2
韍	fat1
艨	mung4
贈	jang6
邗	hon4
跙	zeoi2
戡	ham1
軺	yiu4
園	yun4
鑞	lap6
拶	jaat3
属	suk6
事	si6
瘾	yan5
鯊	sa1
前	chin4
統	tung2
碭	dong6
衊	mit6
贱	jin6
逐	juk6
筠	gwan1/wan4
嵊	sing6
迣	sai3
牁	go1/o1
稞	fo1
根	gan1
疮	chong1
吖	a4
癤	jit3
償	seung4/cheung4
剝	mok1
鉺	yi5
闪	sim2
紓	syu1
遢	taap3
手	sau2
轕	got3
获	wok6/wok6
翬	fai1
顷	king2
趨	cheui1
灌	gun3
螺	lo4
禁	gam3/gam1
頒	baan1
穢	wai3
搘	ji1
縳	jyun3
凝	ying4/king4
咽	yin1/yit3
謠	yiu4
欽	yam1
控	hung3
垓	goi1
潆	ying4
谂	nam2
駴	haai5
囵	leun4
谷	guk1/guk1
垂	seui4
鵷	yun1
別	bit6
穧	jai3
潞	lou6
綠	luk6
蛤	gap3/ha4
腧	syu6
阙	kyut3
诀	kyut3
咈	fat1
涘	ji6
鷳	haan4
辨	bin6
醚	mai4
牟	mau4
寫	se2
翿	tou4
熳	maan4
維	wai4
争	jang1/jaang1
劫	gip3
帐	jeung3
役	yik6
蓇	gwat1
偯	yi2
芹	kan4
濺	jin1/jin3
懦	no6
眷	gyun3
锰	maang5
慌	fong1
鈦	taai3
死	sei2
缕	leui5
殲	chim1
䌽	choi2
萁	kei4
剿	chaau1/jiu2
蹲	deun1/chyun4
诶	aai2/ei6/oi1
龈	han2/ngan4
怕	pa3
蔣	jeung2
驪	lei4
熸	jim1
嬈	yiu4
晶	jing1
挎	kwa3
拭	sik1
錾	jaam6
缸	gong1
缝	fung4/fung6
浃	jip3
厚	hau5
髁	fo1
鼓	gu2
催	cheui1
江	gong1
狘	yut6
繃	bang1/maang1
嘀	dik6
椹	jam1
椟	duk6
尬	gaai3
俨	yim5
谢	je6
歷	lik6
濘	ning6
沽	gu1
茵	yan1
己	gei2
芊	chin1
籤	chim1
松	chung4/sung1
廃	fai3
蛋	daan2
諝	seui1
睪	yik6
貲	ji1
賦	fu3
伙	fo2
憤	fan5
傔	him3
踪	jung1
翕	yap1
碘	din2
狸	lei4
璠	faan4
牡	maau5
癇	haan4
麦	mak6
環	waan4
邵	siu6
耄	mou6
哪	na5/na4/na1
頍	kwai1
割	got3
谗	chaam4
鏢	biu1
鳦	yut3
諧	haai4
抖	dau2
阨	ak1/ngak1
肆	si3/sei3
鍊	lin6/lin2
痌	tung1
鮿	jip3
沙	sa1
赆	jeun2
礱	lung4
霉	mui4
鍱	dip6
蘅	hang4
盈	ying4
芈	me1/me5
磬	hing3
蜗	wo1/wa1
蛱	gaap3
愦	kui2
鼚	cheung1
茞	choi2
綬	sau6
鑠	seuk3
痱	fai2/fei2
铰	gaau2
禔	tai4
挓	ja1
牮	jin3
蜿	yun1
叹	taan3/taan3
费	fai3
規	kwai1
膳	sin6
未	mei6
僩	haan5
澐	wan4
请	cheng2/ching2
哈	ha1/ha5
诼	deuk6
绝	jyut6
授	sau6
簹	dong1
愮	yiu4
塹	chim3
沬	mut3
腺	sin3
鰽	chou4
浆	jeung1
榛	jeun1
赙	fu6
虬	kau4
渗	sam3
们	mun4
喒	ja1
疬	lek6
圬	wu1
鹉	mou5
谨	gan2
甥	saang1/sang1
櫱	yit6
乾	gon1/kin4
擭	fa6
鄉	heung1
骑	ke4/kei4
伪	ngai6
耳	yi5
趑	ji1
揜	yim2
悴	seui5/seui6
柰	noi6
羥	keung5
珞	lok3
辈	bui3
鳴	ming4
牽	hin1
僝	chaan4/saan4
杠	gong1/gong3
做	jou6
喚	wun6/fun3
镜	geng3
鳝	sin5
瑄	syun1
诂	gu2
瑜	yu4
闥	taat3
疏	so1
麸	fu1
医	yi1
撣	daan6/sin6
癙	syu2
囡	naam4
碓	deui3
簰	paai4
襡	duk6
詼	fui1
遼	liu4
念	nim6
擾	yiu2
籹	yu5
辚	leun4
株	jyu1
蟊	maau4
詠	wing6
鳄	ngok6
篌	hau4
襆	buk6
匟	kong3
典	din2
圊	ching1
盗	dou6
條	tiu4
謅	jau1
僞	ngai6
仪	yi4
虼	gat1
無	mou4
喻	yu6
榎	ga2
兹	ji1
品	ban2
篚	fei2
蝮	fuk1
潷	bat1/bei3
洒	sa2/sa2/sai2/sin2
捉	juk1/juk3
和	wo4/wo6
揦	naa2
塌	taap3
灞	ba3
扎	jaat3/jaat3
阽	dim3
屧	sit3
熗	cheung3
沪	wu6
楛	fu2/wu6
胜	sing3/sing1
謙	him1
豵	jung1
彩	choi2
闵	man5
巽	seun3
吴	ng4
訌	hung4
堎	ling4
敻	hing3
痡	fu1
碚	pui5
鑱	chaam4
塍	sing4
铸	jyu3
辞	chi4
棧	jaan6
瓖	seung1
銅	tung4
驃	piu3
顛	din1
诛	jyu1
罿	chung1
诩	heui2
畈	faan3
檸	ning4
捫	mun4
饺	gaau2
藶	lik6
岷	man4
翾	hyun1
絨	yung4
姤	gau3
飣	ding3
灣	waan1
梢	saau1
嗒	dap1/dep1
启	kai2
懃	kan4
譙	chiu4
挽	wan5
幘	jik1
帽	mou6
鰲	ngou4
甾	ji1/joi1
氈	jin1
咠	chap1
圂	wan6
警	ging2
臥	ngo6
懼	geui6
鯨	king4
川	chyun1
跋	bat6
踞	geui3
椸	yi4
焜	gwan1
鰷	tiu4
卖	maai6
腩	naam4
傾	king1
遁	deun6
渠	keui4
鏾	sin3
贼	chaak6
澀	sap1/sap3
曇	taam4
庉	tyun4
磟	luk1
悸	gwai6
苇	wai5
黜	jeut1
骖	chaam1
狳	yu4
蔔	baak6
柔	yau4
靄	oi2
宇	yu5
绑	bong2
方	fong1
穀	guk1
利	lei6
攥	jaan6
鼎	ding2
软	yun5
桢	jing1
賵	fung3
璪	jou2
饎	chi4
堮	ngok6
窀	jeun1
俱	keui1
畬	se1/yu4
鳶	yun1
嶇	keui1
捼	no4
框	kwaang1/hong1
爰	wun4/yun4
莹	ying4
營	ying4
鋌	ting5
求	kau4
憫	man5
擞	sau2
牢	lou4
骾	gang2
態	taai3
峥	jang1
绔	fu3
鶂	yik6
毽	gin3/yin2
弱	yeuk6
熱	yit6
戒	gaai3
禍	wo6
趡	cheui2
引	yan5
跡	jik1
憀	liu4
佻	tiu1/tiu4
舆	yu4
益	yik1
驗	yim6
荦	lok3
赫	haak1
瑙	nou5
浩	hou5
戌	seut1
躕	chyu4
烂	laan6
舫	fong2
銶	kau4
鷫	suk1
潤	yeun6
揣	cheui2/chyun2
忡	chung1
纇	leui6
疵	chi1/chi4
挺	ting5/ting2
吡	bei1
懔	lam5
邠	ban1
皽	jin2
射	se6
鴿	gap3
饋	gwai6
鳗	maan4
屘	mei1
携	kwai4
票	piu3
昧	mui6
合	hap6
祉	ji2
騃	ngoi4
韣	duk6
啻	chi3
楀	geui2
铡	jaat3
孤	gu1
浹	jip3
锥	zeoi1
衕	tung4
抬	toi4
衆	jung3
胳	gaak3
汗	hon6/hon4/hong6
贲	ban1/bei3/fan5
匹	pat1
朧	lung4
蛑	mai4
倡	cheung1
甚	sam6
缇	tai4
儇	hyun1
邙	mong4
曜	yiu6
咋	ja1/ja3/jaak3
怅	cheung3
蝘	yin2
蓆	jek6
衣	yi1
錮	gu3
喜	hei2
祇	ji2/kei4
洑	fuk6
論	leun6
賽	choi3
挤	jai1
表	biu2/biu1
